source_city,destination_city
Delhi,Mumbai
Delhi,Bangalore
Delhi,Kolkata
Delhi,Hyderabad
Delhi,Chennai
Mumbai,Delhi
Mumbai,Bangalore
Mumbai,Kolkata
Mumbai,Hyderabad
Mumbai,Chennai
Bangalore,Delhi
Bangalore,Mumbai
Bangalore,Kolkata
Bangalore,Hyderabad
Bangalore,Chennai
Kolkata,Delhi
Kolkata,Mumbai
Kolkata,Bangalore
Kolkata,Hyderabad
Kolkata,Chennai
Hyderabad,Delhi
Hyderabad,Mumbai
Hyderabad,Bangalore
Hyderabad,Kolkata
Hyderabad,Chennai
Chennai,Delhi
Chennai,Mumbai
Chennai,Bangalore
Chennai,Kolkata
Chennai,Hyderabad
